job_title,company,location,experience_level
"Program Manager, Regulatory Program Management Office",Google,"Mountain View, CA, USA",Mid
"Senior iOS UX Engineer, Search App",Google,"Mountain View, CA, USA",Mid
gUP Operations Program Manager,Google,"Dublin, Ireland",Mid
"Principal Strategist, Security, Strategic Customer Engagement, Google Cloud",Google,"New York, NY, USA",Advanced
"Senior Technical Program Manager, Pixel Device Core SW",Google,"Mountain View, CA, USA",Advanced
"Account Manager, Gaming and Apps, Large Customer Sales (Urdu, English)",Google,"Karachi, Pakistan",Early
"Strategic Partner Manager, YouTube Shopping",YouTube,Singapore,Mid
Strategy and Operations Lead,Google,"Mountain View, CA, USA",Mid
"Trust and Safety Analyst, Developer Experience and Ecosystem Programs",Google,"Atlanta, GA, USA",Mid
"Software Engineer, Chrome Networking Security",Google,"Mountain View, CA, USA",Mid
"Manufacturing Process Integration Lead, Raxium",Google,"Fremont, CA, USA",Advanced
"AI Technical Delivery Lead, Google Cloud",Google,"London, UK",Advanced
"Senior Product Technology Manager, Cloud Support on Gemini",Google,"Sunnyvale, CA, USA",Mid
Glasses NPI Lead,Google,"New Taipei, Banqiao District, New Taipei City, Taiwan",Mid
"Senior CPU Architecture and Performance Architect, Silicon",Google,"Mountain View, CA, USA",Mid
"AI Outcome Customer Engineer, Google Cloud (Thai)",Google,Singapore,Advanced
"Senior Product Manager, App Ads Measurement and Ecosystem",Google,"Mountain View, CA, USA",Advanced
"Data Center Technician II, Hardware Operations",Google,"Saint George, SC, USA",Early
"Engineering Analyst, YouTube Trust and Safety",YouTube,"Hyderabad, Telangana, India",Mid
"Power Delivery Design Engineer, Google Cloud",Google,"Tel Aviv, Israel",Mid
"Senior Staff Software Engineer, Unified Traffic Engineering, Infrastructure",Google,"Sunnyvale, CA, USA",Advanced
"Industry Manager, eCommerce, Large Customer Sales (English, Japanese)",Google,"Tokyo, Japan",Mid
"Conversational AI SCE, Google Cloud",Google,"Warsaw, Poland",Mid
Senior Technical Writer,Google,"Kirkland, WA, USA",Mid
"Technical Program Manager, Google Flow",Google,"Mountain View, CA, USA",Advanced
"Strategy Associate, YouTube",YouTube,"San Bruno, CA, USA",Mid
"Governance and Issue Management Analyst, gTech Risk",Google,"Chicago, IL, USA",Mid
"Business Development Manager, New Business Sales, Export (Mandarin, English)",Google,"Shenzhen, Guangdong Province, China",Early
"Software Engineer, Safe Coding",Google,Singapore,Mid
"Technical Program Manager II, Infrastructure, Global Networking",Google,"Reston, VA, USA",Mid
"Staff Research Data Scientist, Search AI Product",Google,"Mountain View, CA, USA",Advanced
"Technical Program Manager, Mechanical Data Center Supplier Quality",Google,Singapore,Mid
"Sales Manager, Data and Measurement (English, French)",Google,"Dublin, Ireland",Advanced
"Senior Software Engineer, AI/ML, Google Cloud",Google,"Sunnyvale, CA, USA",Mid
"Technical Program Manager II, Capacity Planning, Cloud",Google,"Sunnyvale, CA, USA",Mid
"Staff Software Engineer, Display and Video 360 Team",Google,"Kirkland, WA, USA",Advanced
"Technical Program Manager I, Infrastructure, Google Cloud",Google,"Addison, TX, USA",Early
"New Business Sales Account Strategist, Onboarding, Google Customer Solutions",Google,"New York, NY, USA",Early
"Staff Software Engineer, AI/ML GenAI, Google Cloud AI",Google,"Sunnyvale, CA, USA",Advanced
Silicon Failure Analysis Lead,Google,"San Diego, CA, USA",Advanced
